feature 1,feature 2,class
7.078242615466204,1.886107388602626,0
6.560234020890661,1.8222445338133222,1
6.817237084151655,1.5677713166312917,1
6.256866987468846,1.4638907388306555,1
6.669549208031892,0.46572577076692934,0
7.360269573323521,0.9164127383804831,0
6.150639621150148,1.7170148175066888,1
7.088101780657745,0.8386265197826622,0
6.465119946095745,1.276560754631007,1
6.312686424397899,1.3957898327672924,1
6.76630463284244,1.8623587658513416,1
5.7925601036137415,0.9721452800572692,0
6.409832998360084,2.5570243229063303,0
5.478590736060958,1.8425326901589842,0
6.484626223143334,2.6808796259901473,0
7.1656200827157965,0.7632702373337856,0
6.343366032586545,1.6227557225281684,1
6.917915791600265,1.6268232833045129,1
7.176569451458442,1.1308746630246052,0
6.195675560629928,0.5313340421987506,0
6.469131635173134,1.2863593447188792,1
5.851413977304158,2.18903550858398,0
6.240943511379861,1.5421060244401918,1
7.282905094288017,2.0223357608488852,0
6.116527707583719,2.4441980797948553,0
6.677098062048343,0.48933227981825067,0
5.351476665226905,1.7364701401173541,0
6.328591016977684,1.3414816738544817,1
6.557701899089736,1.718905984504736,1
6.747661504058751,1.1357246060853905,1
7.432881211259982,1.4348180863987106,0
5.485580072862585,1.4397524037495164,0
6.887984955814777,1.6122156861453916,1
5.8198639999426405,1.262876399363341,0
5.90195289728224,2.1029339573775436,0
6.595329025638515,1.378939004502323,1
6.749965244031566,1.5956592948365809,1
6.4739298660917255,1.407634492047095,1
6.385140405381225,0.436705896376103,0
6.721444692974488,1.6869142870583953,1
5.858145289028534,0.7244279475285803,0
6.551937900544158,1.5981910963082895,1
6.9117493249896516,1.5464625987368996,1
6.5693755405869645,1.153759995408802,1
6.430397583210598,1.721250458666041,1
6.955254888858033,2.350029120748616,0
7.483169872387004,1.8239369920197315,0
6.861696208348128,2.330417343412228,0
6.838024239587639,1.5121507140408474,1
6.3153746235516595,1.2665410973050726,1
